Warning,Version,Enabled by
abi,4.6.0
abi-tag,4.8.0
abi=,5.1.0
address,4.6.0,all
address-of-packed-member,9.1.0,default
aggregate-return,4.6.0
aggressive-loop-optimizations,4.8.0,default
aligned-new=,7.1.0,all
all,4.6.0,all
alloc-size-larger-than=,7.1.0,all
alloc-zero,7.1.0
alloca,7.1.0
alloca-larger-than=,7.1.0
arith-conversion,10.1.0
array-bounds,4.6.0,all
array-bounds=,5.1.0,all
array-parameter=,11.1.0,all
attribute-alias,8.1.0,default
attribute-alias=,9.1.0,default
attribute-warning,9.1.0,default
attributes,4.6.0,default
bool-compare,5.1.0,all
bool-operation,7.1.0,all
builtin-declaration-mismatch,7.1.0,default
builtin-macro-redefined,4.6.0,default
cannot-profile,9.1.0,default
cast-align,4.6.0
cast-align=strict,8.1.0
cast-function-type,8.1.0,extra
cast-qual,4.6.0
catch-value=,8.1.0,all
char-subscripts,4.6.0,all
chkp,5.1.0,all
class-conversion,9.1.0,default
class-memaccess,8.1.0
clobbered,4.6.0,extra
comma-subscript,10.1.0
comment,4.6.0,all
conditionally-supported,4.9.0
conversion,4.6.0
conversion-null,4.6.0,default
coverage-mismatch,4.6.0,default
cpp,4.6.0,default
ctad-maybe-unsupported,11.1.0
ctor-dtor-privacy,4.6.0
dangling-else,7.1.0,parentheses
date-time,4.9.0
delete-incomplete,4.9.0,default
delete-non-virtual-dtor,4.7.0,all
deprecated,4.6.0,default
deprecated-copy,9.1.0
deprecated-copy-dtor,9.1.0
deprecated-declarations,4.6.0,default
deprecated-enum-enum-conversion,11.1.0
deprecated-enum-float-conversion,11.1.0
disabled-optimization,4.6.0
div-by-zero,4.6.0,default
double-promotion,4.6.0
duplicated-branches,7.1.0
duplicated-cond,6.1.0
empty-body,4.6.0,extra
endif-labels,4.6.0,default
enum-compare,4.6.0,all
enum-conversion,11.1.0,extra
exceptions,11.1.0,default
expansion-to-defined,7.1.0,extra || pedantic
extra,4.6.0,extra
extra-semi,8.1.0
float-conversion,4.9.0,conversion
float-equal,4.6.0
format,4.6.0
format-contains-nul,4.6.0,format=
format-diag,10.1.0,format=
format-extra-args,4.6.0,format=
format-nonliteral,4.6.0,format=
format-overflow=,7.1.0,format=
format-security,4.6.0,format=
format-signedness,5.1.0
format-truncation=,7.1.0,format=
format-zero-length,4.7.0,format=
format=,4.8.0,all
frame-address,6.1.0,all
frame-larger-than=,4.6.0
free-nonheap-object,4.7.0,default
hsa,6.1.0,default
if-not-aligned,8.1.0,default
ignored-attributes,6.1.0,default
ignored-qualifiers,4.6.0,extra
implicit-fallthrough=,7.1.0,extra
inaccessible-base,10.1.0,default
inherited-variadic-ctor,4.8.0,default
init-list-lifetime,9.1.0,default
init-self,4.6.0,all
inline,4.6.0
int-in-bool-context,7.1.0,all
int-to-pointer-cast,4.6.0,default
invalid-imported-macros,11.1.0
invalid-memory-model,4.7.0,default
invalid-offsetof,4.6.0,default
invalid-pch,4.6.0
larger-than=,4.6.0
literal-suffix,4.8.0,default
logical-not-parentheses,5.1.0,all
logical-op,6.1.0
long-long,4.6.0
lto-type-mismatch,6.1.0,default
main,4.6.0,all pedantic
maybe-uninitialized,4.7.0,uninitialized
memset-elt-size,7.1.0,all
memset-transposed-args,5.1.0,all
misleading-indentation,6.1.0,all
mismatched-dealloc,11.1.0,all
mismatched-new-delete,11.1.0,all
mismatched-tags,10.1.0
missing-attributes,8.1.0,all
missing-braces,4.6.0,all
missing-declarations,4.6.0
missing-field-initializers,4.6.0,extra
missing-format-attribute,4.6.0
missing-include-dirs,4.6.0
missing-noreturn,4.6.0
missing-profile,9.1.0,default
mudflap,4.6.0,default
multichar,4.6.0
multiple-inheritance,6.1.0
multistatement-macros,8.1.0,all
namespaces,6.1.0
narrowing,4.7.0,all
noexcept,4.6.0
noexcept-type,7.1.0
non-template-friend,4.6.0,default
non-virtual-dtor,4.6.0
nonnull,4.7.0,format= all
nonnull-compare,6.1.0,all
normalized=,4.6.0
null-dereference,6.1.0
odr,5.1.0,default
old-style-cast,4.6.0
openmp-simd,4.9.0,all
overflow,4.6.0,default
overlength-strings,4.6.0,pedantic
overloaded-virtual,4.6.0
packed,4.6.0
packed-bitfield-compat,4.6.0
packed-not-aligned,8.1.0,all
padded,4.6.0
parentheses,4.6.0,all
pedantic,4.8.0,pedantic
pessimizing-move,9.1.0
placement-new=,6.1.0
pmf-conversions,4.6.0,default
pointer-arith,4.6.0,pedantic
pointer-compare,7.1.0,default
pragmas,4.6.0,default
prio-ctor-dtor,9.1.0,default
range-loop-construct,11.1.0,all
redundant-decls,4.6.0
redundant-move,9.1.0,extra
redundant-tags,10.1.0
register,7.1.0
reorder,4.6.0,all
restrict,7.1.0
return-local-addr,4.8.0,default
return-type,4.6.0,all
scalar-storage-order,6.1.0,default
sequence-point,4.6.0,all
shadow,4.6.0
shadow=compatible-local,7.1.0,shadow=local
shadow=local,7.1.0,shadow
shift-count-negative,5.1.0,default
shift-count-overflow,5.1.0,default
shift-negative-value,6.1.0
shift-overflow=,6.1.0
sign-compare,4.6.0,extra
sign-conversion,4.6.0,conversion
sign-promo,4.6.0
sized-deallocation,5.1.0,extra
sizeof-array-argument,5.1.0,default
sizeof-array-div,11.1.0,all
sizeof-pointer-div,8.1.0,all
sizeof-pointer-memaccess,5.1.0,all
stack-protector,4.6.0
stack-usage=,4.7.0
strict-aliasing,4.6.0
strict-aliasing=,4.6.0,all
strict-null-sentinel,4.6.0
strict-overflow,4.6.0
strict-overflow=,4.6.0,all
string-compare,10.1.0
stringop-overflow=,7.1.0
stringop-overread,11.1.0,default
stringop-truncation,8.1.0
subobject-linkage,6.1.0,default
suggest-attribute=cold,8.1.0
suggest-attribute=const,4.6.0
suggest-attribute=format,4.8.0
suggest-attribute=malloc,8.1.0
suggest-attribute=noreturn,4.6.0
suggest-attribute=pure,4.6.0
suggest-final-methods,5.1.0
suggest-final-types,5.1.0
suggest-override,5.1.0
switch,4.6.0,all
switch-bool,5.1.0,default
switch-default,4.6.0
switch-enum,4.6.0
switch-outside-range,10.1.0,default
switch-unreachable,7.1.0,default
sync-nand,4.6.0,default
synth,4.6.0
system-headers,4.6.0
tautological-compare,6.1.0,all
templates,6.1.0
terminate,6.1.0,default
trampolines,4.6.0
trigraphs,4.6.0,all
tsan,11.1.0,default
type-limits,4.6.0,extra
undef,4.6.0
uninitialized,4.6.0,extra
unknown-pragmas,4.6.0,all
unreachable-code,4.6.0
unsafe-loop-optimizations,4.6.0
unused,4.6.0,all
unused-but-set-parameter,4.6.0,unused && extra
unused-but-set-variable,4.6.0,unused
unused-const-variable=,6.1.0,unused-variable
unused-function,4.6.0,unused
unused-label,4.6.0,unused
unused-local-typedefs,4.7.0,unused
unused-macros,4.6.0
unused-parameter,4.6.0,unused && extra
unused-result,4.6.0,default
unused-value,4.6.0,unused
unused-variable,4.6.0,unused
useless-cast,4.8.0
varargs,4.8.0,default
variadic-macros,4.6.0,default
vector-operation-performance,4.7.0
vexing-parse,11.1.0,default
virtual-inheritance,6.1.0
virtual-move-assign,4.8.0,default
vla,4.6.0
vla-larger-than=,7.1.0
vla-parameter,11.1.0,all
volatile,10.1.0
volatile-register-var,4.6.0,all
write-strings,4.6.0
zero-as-null-pointer-constant,4.7.0
zero-length-bounds,10.1.0,all
